id,location,created_timestamp,posted_since_indays
20180216120345,panathur,"2018-02-16 12:03:45",3
20180216134526,panathur,"2018-02-16 13:45:26",7
20180216183552,marathahalli,"2018-02-16 18:35:52",3
20180216195637,marathahalli,"2018-02-16 19:56:37",30
20180221195136,panathur,"2018-02-21 19:51:36",3
20180221202032,marathahalli,"2018-02-21 20:20:32",7
20180224105843,panathur,"2018-02-24 10:58:43",3
20180224105846,panathur,"2018-02-24 10:58:46",3
20180224105856,panathur,"2018-02-24 10:58:56",3
20180224110943,marathahalli,"2018-02-24 11:09:43",7
20180227122425,marathahalli,"2018-02-27 12:24:25",7
20180227122538,marathahalli,"2018-02-27 12:25:38",7
20180227122643,marathahalli,"2018-02-27 12:26:43",3
20180227122820,panathur,"2018-02-27 12:28:20",3
20180227123527,kadugodi,"2018-02-27 12:35:27",3
20180227123658,panathur,"2018-02-27 12:36:58",7
20180227123816,panathur,"2018-02-27 12:38:16",7
20180227123840,kundalahalli,"2018-02-27 12:38:40",3
20180227123913,kundalahalli,"2018-02-27 12:39:13",7
